date,value
2024-01-01,100.0
2024-01-02,102.5
2024-01-03,101.8
2024-01-04,103.2
2024-01-05,104.1
2024-01-06,105.0
2024-01-07,103.8
2024-01-08,106.2
2024-01-09,107.5
2024-01-10,108.0
2024-01-11,109.2
2024-01-12,110.1
2024-01-13,111.0
2024-01-14,112.3
2024-01-15,113.5
2024-01-16,114.2
2024-01-17,115.0
2024-01-18,116.1
2024-01-19,117.3
2024-01-20,118.5
2024-01-21,119.2
2024-01-22,120.0
2024-01-23,121.1
2024-01-24,122.3
2024-01-25,123.5
2024-01-26,124.2
2024-01-27,125.0
2024-01-28,126.1
2024-01-29,127.3
2024-01-30,128.5
